player,nation,position,team,age,birth_year,matches_played,Starts,minutes,90s,goals,assists,G+A,G-PK,PK,PKatt,yellow_cards,red_cards,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!.1,On-Off,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,market_value_eur,age_tm,nationality_tm,age_num,pos_group,cluster_kmeans,cluster_dbscan,pca_x,pca_y,cluster_label
Alan Aguerre,ar ARG,GK,C. Córdoba–SdE,35-299,1990.0,16,16,1374,15.266666666666667,0.0,0.0655,1,0,0,0,2,0,0.0,0.07,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,95.4,86.0,15,0,,0,1.0,10.0,19.0,-9.0,-0.59,0.77,0,0.0,0.1965,0,0.0,0.0,0.0,,,0,19.0,1.24,74.0,57.0,75.7,4.0,4.0,8.0,6.0,37.5,1.0,1.0,0.0,50.0,175000.0,35.0,Argentina,35.0,Portero,0,0,1.3033,1.617,Portero clasico
Ignacio Arce,ar ARG,GK,Dep. Riestra,34-071,1992.0,16,16,1440,16.0,0.0,0.0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.06,0.0,0.0,0.0,90.0,100.0,90.0,16,0,,0,0.69,5.0,12.0,-7.0,-0.44,,0,0.0625,0.3125,0,0.0625,0.0625,0.0,,,0,12.0,0.75,64.0,55.0,85.9,1.0,8.0,7.0,6.0,37.5,3.0,0.0,0.0,0.0,800000.0,34.0,Argentina,34.0,Portero,0,1,1.9481,-0.0726,Portero clasico
Gabriel Arias,cl CHI,GK,Newell's,38-278,1987.0,7,7,612,6.8,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,42.5,87.0,6,0,,0,0.29,5.0,13.0,-8.0,-1.18,-0.74,0,0.0,0.0,0,0.0,0.0,0.1471,,,0,13.0,1.91,32.0,20.0,62.5,0.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,200000.0,38.0,Chile,38.0,Portero,1,2,-3.5116,0.8761,Portero de salida
Renzo Bacchia,uy URU,GK,Estudiantes–RC,27-146,1999.0,5,5,450,5.0,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,31.3,90.0,5,0,,8,0.2,1.0,9.0,-8.0,-1.6,-0.6,0,0.2,0.0,0,0.0,0.0,0.0,,,0,9.0,1.8,21.0,13.0,61.9,0.0,1.0,4.0,1.0,20.0,1.0,0.0,1.0,0.0,0.0,,,27.0,Portero,1,2,-3.097,0.1021,Portero de salida
Williams Barlasina,ar ARG,GK,Newell's,27-354,1998.0,5,4,378,4.2,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,26.3,90.0,4,1,18.0,11,0.8,2.0,9.0,-7.0,-1.67,-1.24,0,0.0,0.2381,0,0.0,0.0,0.0,,,0,9.0,2.14,25.0,17.0,68.0,1.0,1.0,2.0,1.0,25.0,1.0,0.0,0.0,0.0,150000.0,27.0,Argentina,27.0,Portero,1,2,-3.013,0.0231,Portero de salida
Santiago Beltrán,ar ARG,GK,River Plate,21-257,2004.0,16,15,1395,15.5,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,96.9,90.0,15,1,45.0,0,1.8,22.0,11.0,11.0,0.71,2.71,0,0.0,0.0645,0,0.0,0.0,0.0,,,0,11.0,0.71,46.0,37.0,80.4,9.0,2.0,4.0,7.0,46.7,2.0,0.0,0.0,0.0,9000000.0,21.0,Argentina,21.0,Portero,0,1,1.8078,-0.3723,Portero clasico
Nicolás Bolcato,ar ARG,GK,Ind. Rivadavia,22-043,2004.0,15,14,1337,14.855555555555556,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,92.8,90.0,14,1,77.0,1,2.06,28.0,13.0,15.0,1.01,1.88,0,0.0,0.2693,0,0.0,0.0673,0.0,,,0,13.0,0.88,47.0,35.0,74.5,9.0,3.0,2.0,4.0,28.6,1.0,0.0,0.0,0.0,2200000.0,22.0,Argentina,22.0,Portero,0,1,0.3257,0.1607,Portero clasico
Matías Borgogno,ar ARG,GK,Platense,27-301,1998.0,16,16,1440,16.0,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,100.0,90.0,16,0,,0,1.0,10.0,15.0,-5.0,-0.31,,0,0.0,0.375,0,0.0,0.0,0.0,,,0,15.0,0.94,64.0,50.0,78.1,3.0,7.0,6.0,6.0,37.5,1.0,0.0,0.0,0.0,2800000.0,27.0,Argentina,27.0,Portero,0,1,1.3984,0.5045,Portero clasico
Leandro Brey,ar ARG,GK,Boca Juniors,23-270,2002.0,5,4,369,4.1,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,25.6,90.0,4,1,9.0,11,2.5,8.0,1.0,7.0,1.71,1.2,0,0.0,0.0,0,0.0,0.0,0.0,,,0,1.0,0.24,10.0,9.0,90.0,4.0,0.0,0.0,4.0,100.0,0.0,0.0,0.0,,1500000.0,23.0,Argentina,23.0,Portero,2,-1,1.8698,-4.3485,Portero mixto
Jorge Broun,ar ARG,GK,Rosario Central,40-023,1986.0,4,4,360,4.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,25.0,90.0,4,0,,12,1.25,4.0,5.0,-1.0,-0.25,-0.67,0,0.0,0.25,0,0.0,0.0,0.0,,,0,5.0,1.25,17.0,13.0,76.5,1.0,2.0,1.0,1.0,25.0,1.0,0.0,0.0,0.0,100000.0,40.0,Argentina,40.0,Portero,1,3,-1.9114,-1.4287,Portero de salida
Javier Burrai,ec ECU,GK,Sarmiento–J,35-252,1990.0,16,16,1440,16.0,0.0,0.0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,100.0,90.0,16,0,,0,1.19,13.0,20.0,-7.0,-0.44,,0,0.0,0.1875,0,0.0,0.0,0.0625,,,0,20.0,1.25,87.0,68.0,78.2,6.0,1.0,9.0,5.0,31.3,1.0,0.0,0.0,0.0,175000.0,35.0,Ecuador,35.0,Portero,0,1,1.1367,1.3433,Portero clasico
Facundo Cambeses,ar ARG,GK,Racing Club,29-070,1997.0,16,16,1440,16.0,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,100.0,90.0,16,0,,0,1.33,17.0,15.0,2.0,0.12,,0,0.0,0.1875,0,0.0,0.0,0.0,,,0,15.0,0.94,53.0,38.0,71.7,5.0,6.0,5.0,6.0,37.5,0.0,1.0,0.0,100.0,5000000.0,29.0,Argentina,29.0,Portero,0,0,1.118,1.1404,Portero clasico
Thiago Cardozo,uy URU,GK,Belgrano,29-322,1996.0,16,16,1440,16.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,100.0,90.0,16,0,,0,1.8,17.0,13.0,4.0,0.25,,0,0.0625,0.3125,0,0.0,0.0,0.0625,,,0,13.0,0.81,55.0,45.0,81.8,7.0,5.0,4.0,8.0,50.0,3.0,0.0,0.0,0.0,3200000.0,29.0,Uruguay,29.0,Portero,0,1,2.2356,-0.09,Portero clasico
Brayan Cortés,cl CHI,GK,Arg Juniors,31-099,1995.0,16,16,1440,16.0,0.0,0.0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,100.0,90.0,16,0,,0,1.89,17.0,13.0,4.0,0.25,,0,0.0,0.0,0,0.0,0.0,0.0,,,0,13.0,0.81,43.0,30.0,69.8,8.0,5.0,3.0,8.0,50.0,0.0,0.0,0.0,,2000000.0,31.0,Chile,31.0,Portero,0,1,1.475,0.259,Portero clasico
Álvaro David Montero,co COL,GK,Vélez Sarsfield,31-081,1995.0,16,16,1440,16.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,100.0,90.0,16,0,,0,1.65,18.0,12.0,6.0,0.37,,0,0.0,0.0625,0,0.0,0.0,0.0,,,0,12.0,0.75,77.0,65.0,84.4,7.0,7.0,2.0,7.0,43.8,0.0,0.0,0.0,,0.0,,,31.0,Portero,0,1,2.4261,0.2591,Portero clasico
José Devecchi,ar ARG,GK,CA San Lorenzo,30-344,1995.0,2,2,180,2.0,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,12.5,90.0,2,0,,13,0.33,2.0,4.0,-2.0,-1.0,-1.14,0,0.0,0.5,0,0.0,0.0,0.0,,,0,3.0,1.5,7.0,4.0,57.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,400000.0,30.0,Argentina,30.0,Portero,1,-1,-4.1427,-0.2215,Portero de salida
Juan Espínola,py PAR,GK,Barracas Central,31-228,1994.0,6,5,461,5.122222222222222,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,32.0,90.0,5,1,11.0,10,1.83,6.0,6.0,0.0,0.0,0.0,0,0.0,0.1952,0,0.0,0.0,0.0,,,0,6.0,1.17,20.0,14.0,70.0,2.0,2.0,1.0,1.0,20.0,0.0,0.0,0.0,,700000.0,31.0,Paraguay,31.0,Portero,1,3,-2.1242,-0.9037,Portero de salida
Cristopher Fiermarin,uy URU,GK,Defensa,28-168,1998.0,16,16,1440,16.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,100.0,90.0,16,0,,0,1.19,18.0,21.0,-3.0,-0.19,,0,0.0,0.3125,0,0.0,0.0,0.0625,,,0,21.0,1.31,58.0,40.0,67.2,4.0,7.0,5.0,5.0,31.3,2.0,1.0,0.0,33.3,1700000.0,28.0,Uruguay,28.0,Portero,0,0,0.2946,1.8636,Portero clasico
Hernán Galíndez,ec ECU,GK,Huracán,39-080,1987.0,15,15,1350,15.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,93.8,90.0,15,0,,0,1.41,17.0,13.0,4.0,0.27,0.27,0,0.0,0.0667,0,0.0,0.0,0.0,,,0,13.0,0.87,39.0,30.0,71.8,5.0,6.0,4.0,6.0,40.0,2.0,2.0,0.0,50.0,300000.0,39.0,Ecuador,39.0,Portero,0,-1,1.145,1.1713,Portero clasico
Orlando Gill,py PAR,GK,CA San Lorenzo,26-007,2000.0,14,14,1260,14.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,87.5,90.0,14,0,,0,1.47,12.0,11.0,1.0,0.07,0.57,0,0.0,0.2143,0,0.0,0.0,0.0,,,0,11.0,0.79,61.0,50.0,83.6,5.0,6.0,3.0,9.0,64.3,1.0,0.0,0.0,0.0,6000000.0,25.0,Paraguay,26.0,Portero,0,1,2.8063,-0.4342,Portero clasico
Guido Herrera,ar ARG,GK,Talleres–C,34-109,1992.0,16,16,1440,16.0,0.0,0.0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,100.0,90.0,16,0,,0,1.53,17.0,13.0,4.0,0.25,,0,0.0,0.375,0,0.0,0.0,0.0,,,0,13.0,0.81,58.0,46.0,79.3,7.0,5.0,4.0,6.0,37.5,1.0,0.0,0.0,0.0,1500000.0,34.0,Argentina,34.0,Portero,0,1,1.4826,0.1877,Portero clasico
Fabricio Iacovich,ar ARG,GK,Estudiantes–LP,24-140,2002.0,6,5,495,5.5,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,34.4,90.0,5,1,45.0,10,1.83,9.0,2.0,7.0,1.27,0.8,0,0.0,0.0,0,0.0,0.0,0.1818,,,0,2.0,0.36,19.0,18.0,89.5,3.0,1.0,1.0,3.0,60.0,0.0,1.0,0.0,100.0,500000.0,24.0,Argentina,24.0,Portero,2,-1,1.0793,-2.6699,Portero mixto
Luis Ingolotti,ar ARG,GK,Atlé Tucumán,26-155,2000.0,16,16,1440,16.0,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,100.0,90.0,16,0,,0,0.88,15.0,20.0,-5.0,-0.31,,0,0.0,0.0625,0,0.0,0.0,0.0,,,0,20.0,1.25,49.0,32.0,63.3,3.0,5.0,8.0,5.0,31.3,2.0,1.0,0.0,33.3,1000000.0,26.0,Argentina,26.0,Portero,0,0,0.0229,1.8065,Portero clasico
Nelson Insfrán,ar ARG,GK,Gimnasia–LP,31-025,1995.0,14,14,1197,13.3,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,83.1,86.0,13,0,,0,1.81,16.0,14.0,2.0,0.15,0.89,0,0.0,0.0,0,0.0,0.0,0.0,,,0,14.0,1.05,47.0,34.0,72.3,8.0,2.0,4.0,5.0,35.7,1.0,0.0,0.0,0.0,2000000.0,31.0,Argentina,31.0,Portero,0,1,0.303,0.2329,Portero clasico
Julián Kadijevic,ar ARG,GK,Gimnasia–LP,22-142,2004.0,2,1,153,1.7,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,10.6,90.0,1,1,63.0,13,1.5,3.0,4.0,-1.0,-0.59,-0.66,0,0.0,0.0,0,0.0,0.0,0.0,,,0,4.0,2.35,9.0,5.0,55.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,50000.0,22.0,Argentina,22.0,Portero,1,-1,-5.0076,0.6499,Portero de salida
Agustín Lastra,ar ARG,GK,Estudiantes–RC,25-167,2001.0,11,11,990,11.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,68.8,90.0,11,0,,5,0.36,4.0,15.0,-11.0,-1.0,0.6,0,0.0,0.7273,0,0.0,0.0909,0.0,,,0,15.0,1.36,38.0,26.0,68.4,1.0,1.0,9.0,2.0,18.2,3.0,0.0,0.0,0.0,0.0,,,25.0,Portero,1,-1,-1.4876,0.4019,Portero de salida
Jeremías Ledesma,ar ARG,GK,Rosario Central,33-125,1993.0,12,12,1080,12.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,75.0,90.0,12,0,,4,1.93,16.0,11.0,5.0,0.42,0.67,0,0.0,0.0833,0,0.0,0.0,0.0,,,0,11.0,0.92,45.0,34.0,75.6,7.0,2.0,3.0,3.0,25.0,0.0,0.0,0.0,,0.0,,,33.0,Portero,0,1,-0.1895,-0.1728,Portero clasico
Nahuel Losada,ar ARG,GK,Lanús,33-062,1993.0,14,14,1260,14.0,0.0,0.0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,87.5,90.0,14,0,,2,1.47,17.0,14.0,3.0,0.21,0.21,0,0.1429,0.1429,0,0.0,0.0714,0.0,,,0,14.0,1.0,49.0,38.0,77.6,6.0,4.0,4.0,6.0,42.9,3.0,0.0,0.0,0.0,3000000.0,33.0,Argentina,33.0,Portero,0,1,1.0492,-0.0356,Portero clasico
Matías Mansilla,ar ARG,GK,Unión,30-123,1996.0,16,16,1440,16.0,0.0,0.0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,100.0,90.0,16,0,,0,1.33,24.0,20.0,4.0,0.25,,0,0.0,0.1875,0,0.0,0.0,0.0,,,1,20.0,1.25,61.0,43.0,70.5,5.0,6.0,5.0,5.0,31.3,2.0,0.0,0.0,0.0,2500000.0,30.0,Argentina,30.0,Portero,0,1,0.3572,1.1519,Portero clasico
Agustín Marchesín,ar ARG,GK,Boca Juniors,38-094,1988.0,12,12,1071,11.9,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,74.4,89.0,11,0,,0,1.5,14.0,8.0,6.0,0.5,-1.2,0,0.0,0.2521,0,0.0,0.0,0.0,,,0,8.0,0.67,34.0,26.0,76.5,4.0,6.0,2.0,6.0,50.0,0.0,0.0,0.0,,500000.0,38.0,Argentina,38.0,Portero,0,1,1.0705,-0.9408,Portero clasico
Marcelo Miño,ar ARG,GK,Barracas Central,28-301,1997.0,11,11,979,10.877777777777778,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,68.0,89.0,10,0,,4,1.18,9.0,9.0,0.0,0.0,0.0,0,0.0,0.4597,0,0.0,0.0,0.0,,,0,9.0,0.83,58.0,49.0,84.5,3.0,4.0,4.0,3.0,27.3,0.0,0.0,0.0,,350000.0,28.0,Argentina,28.0,Portero,0,1,0.4917,-0.5647,Portero clasico
Fernando Muslera,uy URU,GK,Estudiantes–LP,40-002,1986.0,11,11,945,10.5,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,65.6,86.0,10,0,,1,1.75,10.0,5.0,5.0,0.48,-0.8,0,0.0,0.2857,0,0.0,0.0,0.0,,,0,5.0,0.48,26.0,20.0,80.8,6.0,3.0,2.0,6.0,54.5,0.0,0.0,0.0,,700000.0,39.0,Uruguay,40.0,Portero,2,1,1.3219,-1.7277,Portero mixto
Franco Petroli,ar ARG,GK,Lanús,28-007,1998.0,2,2,180,2.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,12.5,90.0,2,0,,14,1.0,1.0,1.0,0.0,0.0,-0.21,0,0.0,0.0,0,0.0,0.0,0.0,,,0,1.0,0.5,8.0,7.0,87.5,0.0,2.0,0.0,1.0,50.0,0.0,0.0,0.0,,1800000.0,27.0,Argentina,28.0,Portero,2,-1,-0.4127,-3.5258,Portero mixto
Lautaro Petruchi,ar ARG,GK,Gimnasia–M,27-290,1998.0,2,2,180,2.0,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,12.5,90.0,2,0,,14,1.0,2.0,2.0,0.0,0.0,0.57,0,0.0,0.5,0,0.0,0.0,0.0,,,0,2.0,1.0,8.0,6.0,75.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,27.0,Portero,1,3,-2.8049,-1.5817,Portero de salida
Josue Reinatti,ar ARG,GK,Newell's,23-016,2003.0,5,5,450,5.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,31.3,90.0,5,0,,4,1.8,8.0,5.0,3.0,0.6,1.96,0,0.0,0.4,0,0.0,0.0,0.0,,,0,5.0,1.0,20.0,15.0,75.0,2.0,3.0,0.0,1.0,20.0,0.0,0.0,0.0,,1200000.0,23.0,Argentina,23.0,Portero,1,3,-1.7356,-1.3287,Portero de salida
Rodrigo Rey,ar ARG,GK,Independiente,35-102,1991.0,16,16,1440,16.0,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,100.0,90.0,16,0,,0,1.41,24.0,20.0,4.0,0.25,,0,0.0,0.1875,0,0.0,0.0,0.0625,,,0,20.0,1.25,54.0,36.0,68.5,6.0,6.0,4.0,4.0,25.0,3.0,0.0,1.0,0.0,1000000.0,35.0,Argentina,35.0,Portero,0,1,-0.1914,1.1376,Portero clasico
César Rigamonti,ar ARG,GK,Gimnasia–M,39-072,1987.0,14,14,1260,14.0,0.0,0.0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,87.5,90.0,14,0,,0,1.21,12.0,20.0,-8.0,-0.57,-0.57,0,0.0714,0.0714,0,0.0,0.0,0.0714,,,0,20.0,1.43,62.0,44.0,69.4,5.0,2.0,7.0,4.0,28.6,1.0,1.0,0.0,50.0,0.0,,,39.0,Portero,0,0,-0.0633,1.7435,Portero clasico
Manuel Roffo,ar ARG,GK,Instituto,26-075,2000.0,16,16,1440,16.0,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,100.0,90.0,16,0,,0,1.31,17.0,17.0,0.0,0.0,,0,0.0,0.1875,0,0.0,0.0,0.0,,,0,17.0,1.06,54.0,37.0,68.5,6.0,3.0,7.0,4.0,25.0,0.0,0.0,0.0,,3000000.0,26.0,Argentina,26.0,Portero,0,1,-0.0119,0.9642,Portero clasico
Facundo Sanguinetti,ar ARG,GK,Banfield,25-109,2001.0,16,16,1440,16.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,100.0,90.0,16,0,,0,1.13,17.0,19.0,-2.0,-0.12,,0,0.0,0.1875,0,0.0,0.0,0.0,,,0,19.0,1.19,84.0,67.0,79.8,5.0,3.0,8.0,4.0,25.0,2.0,0.0,0.0,0.0,2500000.0,25.0,Argentina,25.0,Portero,0,1,0.8794,1.1786,Portero clasico
Axel Werner,ar ARG,GK,Aldosivi,30-110,1996.0,15,15,1350,15.0,0.0,0.0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,93.8,90.0,15,0,,1,0.47,5.0,18.0,-13.0,-0.87,-0.87,0,0.0,0.2,0,0.0,0.0,0.0,,,0,18.0,1.2,56.0,41.0,71.4,0.0,7.0,8.0,4.0,26.7,2.0,1.0,0.0,33.3,0.0,,,30.0,Portero,0,0,0.1863,1.4195,Portero clasico
Felipe Zenobio,ar ARG,GK,Tigre,26-027,2000.0,15,15,1350,15.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,93.8,90.0,15,0,,0,1.33,17.0,13.0,4.0,0.27,1.27,0,0.0,0.0667,0,0.0,0.0,0.0,,,0,13.0,0.87,44.0,32.0,72.7,4.0,8.0,3.0,4.0,26.7,1.0,0.0,0.0,0.0,3500000.0,26.0,Argentina,26.0,Portero,0,1,0.1701,0.2246,Portero clasico
Ignacio Abraham,sy SYR,"DF,MF",Banfield,28-157,1998.0,16,16,1440,16.0,0.0,0.25,4,0,0,0,1,0,0.0,0.25,0.25,0.0,0.25,0.5625,0.1875,33.3,0.56,0.19,0.0,0.0,90.0,100.0,90.0,16,0,,0,1.13,17.0,19.0,-2.0,-0.12,,0,0.4375,0.625,0,5.4375,0.5625,1.0625,,,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,1500000.0,28.0,Syria,28.0,Defensor,0,-1,1.624,3.1469,Defensor defensivo puro
Marcos Acuña,ar ARG,DF,River Plate,34-233,1991.0,11,9,837,9.3,0.0,0.1075,1,0,0,0,7,0,0.0,0.11,0.11,0.0,0.11,1.0753,0.2151,20.0,1.08,0.22,0.0,0.0,76.0,58.1,86.0,6,2,33.0,1,1.6,12.0,8.0,4.0,0.43,-0.47,0,0.8602,1.1828,0,4.8387,1.0753,1.6129,,,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,1000000.0,34.0,Argentina,34.0,Defensor,0,-1,-0.1887,1.8439,Defensor defensivo puro
Fernando Alarcón,ar ARG,DF,Instituto,32-002,1994.0,13,13,1125,12.5,0.0,0.0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.8,0.32,40.0,0.8,0.32,0.0,0.0,87.0,78.1,87.0,12,0,,2,1.46,13.0,12.0,1.0,0.08,0.37,0,1.44,0.48,0,0.08,1.52,1.36,,,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,1300000.0,31.0,Argentina,32.0,Defensor,1,0,0.103,-0.63,Defensor mixto
Federico Álvarez,ar ARG,DF,Tigre,31-315,1994.0,14,13,1148,12.755555555555556,0.0,0.0784,1,0,0,0,2,0,0.0,0.08,0.08,0.0,0.08,0.8624,0.0784,9.1,0.86,0.08,0.0,0.0,82.0,79.7,87.0,11,1,22.0,2,1.36,17.0,11.0,6.0,0.47,1.4,0,0.7056,1.0192,1,3.9199,2.0383,1.4111,,,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,500000.0,31.0,Argentina,31.0,Defensor,0,-1,0.2693,0.7367,Defensor defensivo puro
Francisco Álvarez,ar ARG,DF,Arg Juniors,26-112,2000.0,15,15,1343,14.922222222222222,0.067,0.0,1,1,0,0,6,0,0.07,0.0,0.07,0.07,0.07,0.9382,0.2681,28.6,0.94,0.27,0.07,0.25,90.0,93.3,90.0,14,0,,0,2.0,15.0,10.0,5.0,0.34,1.26,0,0.9382,0.6701,0,0.4691,1.5413,1.3403,,,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,4500000.0,26.0,Argentina,26.0,Defensor,3,1,2.1323,-0.2121,Defensor de bajo impacto
Emiliano Amor,sy SYR,DF,Defensa,31-033,1995.0,15,15,1304,14.488888888888889,0.069,0.0,1,1,0,0,2,0,0.07,0.0,0.07,0.07,0.07,0.2071,0.069,33.3,0.21,0.07,0.33,1.0,87.0,90.6,87.0,13,0,,0,1.2,17.0,18.0,-1.0,-0.07,1.25,0,0.6212,0.138,1,0.069,1.9325,0.2761,,,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,450000.0,31.0,Syria,31.0,Defensor,1,-1,1.4663,-1.6526,Defensor mixto
Juan Antonini,ar ARG,DF,Estudiantes–RC,27-106,1999.0,11,10,895,9.944444444444445,0.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.7039,0.1006,14.3,0.7,0.1,0.0,0.0,81.0,62.2,87.0,7,1,27.0,4,0.36,5.0,15.0,-10.0,-1.01,0.48,0,0.5028,0.2011,0,1.1061,2.1117,1.1061,,,1,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0,,,27.0,Defensor,1,0,0.0974,-1.2261,Defensor mixto
