player,nation,position,team,age,birth_year,matches_played,Starts,minutes,90s,goals,assists,G+A,G-PK,PK,PKatt,yellow_cards,red_cards,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!.1,On-Off,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,market_value_eur,age_tm,nationality_tm,age_num,pos_group,cluster_kmeans,cluster_dbscan,pca_x,pca_y,cluster_label
Teo Rodríguez,ar ARG,"DF,MF",CA San Lorenzo,20-249,2005.0,9,5,578,6.4222222222222225,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.7785,0.0,0.0,0.78,0.0,0.0,0.0,64.0,40.1,80.0,2,4,45.0,7,1.33,6.0,8.0,-2.0,-0.31,-0.52,0,1.2457,1.09,0,2.6471,1.09,1.4014,,,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0,,,20.0,Defensor,4,0,-1.1266,0.1001,Defensor — alto market_value_eur
Gabriel Rojas,ar ARG,"DF,MF",Racing Club,28-361,1997.0,12,12,1080,12.0,0.0833,0.25,4,1,0,0,2,0,0.08,0.25,0.33,0.08,0.33,0.5833,0.25,42.9,0.58,0.25,0.14,0.33,90.0,75.0,90.0,12,0,,1,1.57,15.0,10.0,5.0,0.42,1.17,0,0.9167,0.9167,2,8.8333,1.0,0.75,,,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,4000000.0,28.0,Argentina,28.0,Defensor,0,-1,1.6923,4.2571,Defensor defensivo puro
Marcos Rojo,ar ARG,DF,Racing Club,36-090,1990.0,7,6,459,5.1,0.0,0.0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.5882,0.0,0.0,0.59,0.0,0.0,0.0,66.0,31.9,73.0,1,1,24.0,2,1.78,7.0,4.0,3.0,0.59,0.68,0,0.3922,0.9804,0,0.1961,1.9608,0.5882,,,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,125000.0,36.0,Argentina,36.0,Defensor,1,0,-0.1579,-1.9722,Defensor mixto
Fernando Román,py PAR,DF,Aldosivi,27-210,1998.0,15,11,1030,11.444444444444445,0.0,0.0874,1,0,0,0,3,0,0.0,0.09,0.09,0.0,0.09,0.2621,0.0,0.0,0.26,0.0,0.0,0.0,69.0,71.5,85.0,9,4,24.0,0,0.53,4.0,11.0,-7.0,-0.61,0.71,0,1.3107,0.7864,0,3.7573,1.5728,1.835,,,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0,,,27.0,Defensor,0,0,-0.6587,1.3697,Defensor defensivo puro
Jhohan Romaña,co COL,DF,CA San Lorenzo,27-278,1998.0,14,14,1215,13.5,0.0,0.0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.3704,0.0,0.0,0.37,0.0,0.0,0.0,87.0,84.4,87.0,13,0,,0,1.47,13.0,13.0,0.0,0.0,0.0,0,0.7407,0.963,0,0.1481,1.7037,1.1852,,,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,6000000.0,27.0,Colombia,27.0,Defensor,3,1,2.3325,-0.6422,Defensor de bajo impacto
Matías Ruíz Díaz,ar ARG,DF,Estudiantes–RC,29-282,1996.0,3,3,270,3.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,18.8,90.0,3,0,,0,0.33,1.0,4.0,-3.0,-1.0,0.23,0,0.3333,0.6667,0,4.0,0.0,1.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0,,,29.0,Defensor,1,-1,-0.6934,0.4154,Defensor mixto
Jerónimo Russo,ar ARG,DF,Newell's,21-019,2005.0,13,7,737,8.188888888888888,0.1221,0.2442,3,1,0,0,3,0,0.12,0.24,0.37,0.12,0.37,0.7327,0.2442,33.3,0.73,0.24,0.17,0.5,57.0,51.2,86.0,6,6,23.0,3,1.08,13.0,9.0,4.0,0.49,2.54,0,0.9769,2.1981,1,4.6404,1.2212,1.8318,,,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,1000000.0,21.0,Argentina,21.0,Defensor,0,-1,0.2371,3.1795,Defensor defensivo puro
Franco Saavedra,ar ARG,DF,Gimnasia–M,22-289,2003.0,13,13,1024,11.377777777777778,0.0,0.0879,1,0,0,0,2,2,0.0,0.09,0.09,0.0,0.09,0.8789,0.0879,10.0,0.88,0.09,0.0,0.0,79.0,71.1,79.0,7,0,,0,1.0,9.0,13.0,-4.0,-0.35,0.51,0,1.6699,1.582,0,2.8125,1.2305,1.2305,,,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0,,,22.0,Defensor,0,0,-0.645,0.9456,Defensor defensivo puro
Juan Saborido,ar ARG,DF,Platense,28-054,1998.0,15,15,1297,14.411111111111111,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.9021,0.1388,15.4,0.9,0.14,0.0,0.0,86.0,90.1,86.0,13,0,,1,1.0,9.0,14.0,-5.0,-0.35,-0.35,0,0.8327,0.4857,0,2.9144,0.9715,1.5266,,,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0,,,28.0,Defensor,1,0,0.2378,0.4503,Defensor mixto
Saúl Salcedo,py PAR,DF,Newell's,28-293,1997.0,14,14,1260,14.0,0.0,0.0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.5714,0.2143,37.5,0.57,0.21,0.0,0.0,90.0,87.5,90.0,14,0,,2,0.86,14.0,25.0,-11.0,-0.79,-0.29,0,0.5714,0.3571,0,0.1429,0.9286,1.0,,,1,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,1000000.0,28.0,Paraguay,28.0,Defensor,1,0,1.1062,-0.8095,Defensor mixto
Oscar Salomón,ar ARG,DF,Newell's,27-088,1999.0,8,7,511,5.677777777777778,0.3523,0.0,2,2,0,0,2,0,0.35,0.0,0.35,0.35,0.35,1.409,0.8806,62.5,1.41,0.88,0.25,0.4,64.0,35.5,72.0,5,1,10.0,3,1.13,7.0,10.0,-3.0,-0.53,0.34,0,1.0568,1.2329,0,0.3523,1.409,1.0568,,,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,1500000.0,27.0,Argentina,27.0,Defensor,2,-1,1.2796,-0.2192,Defensor con proyeccion ofensiva
